Lifetime Movie Favorites | source=vizio | res=2160 | https://5ee29b66.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/Vml6aW9fSG9saWRheU1vdmllRmF2b3JpdGVzYnlMaWZldGltZV9ITFM/playlist.m3u8?ads.wurl_channel=999&ads.wurl_name=HolidayMovieFavoritesbyLifetime&ads.coppa=0&ads.psid=%7bADID%7d&ads.targetopt=%7bTARGETOPT%7d&ads.us_privacy=%7bUSPRIVACY%7d&ads.ifa_type=%7bIFATYPE%7d&ads.lmt=%7bLMT%7d&ads.app_bundle=%7bAPP_BUNDLE%7d&ads.app_name=%7bAPP_NAME%7d&ads.app_store_url=%7bAPP_STORE_URL%7d&ads.url=%7bDOMAIN%7d&ads.w=%7bWIDTH%7d&ads.h=%7bHEIGHT%7d&ads.device_make=%7bDEVICE_MAKE%7d&ads.vizdartoken=eyJhdWQiOiI5OCIsIndmcGNpZCI6MzQ1NjY3OTAzMn0
Netmax TV (720p) | source=iptv_org | res=2160 | https://es1.crystalweb.net:1936/netmaxtv/netmaxtv/playlist.m3u8
Videotelecarnia | source=free_tv | res=2160 | https://rst2.saiuzwebnetwork.it:8081/vtccarnia/index.m3u8
Vidas Extremas | source=pluto | res=720 | https://cfd-v4-service-channel-stitcher-use1-1.prd.pluto.tv/v2/stitch/hls/channel/673249afc7626f0008c7205d/master.m3u8?jwt=eyJhbGciOiJIUzI1NiIsImtpZCI6IjNhMGMxYjk1LTFiMjQtNDA3Yy1hYTZjLTkwNmFiYWZiNWZkNyIsInR5cCI6IkpXVCJ9.eyJzZXNzaW9uSUQiOiIzNmQyOWRhMi03NTM0LTExZjEtOGM3Ny03ZWU1YzA3OTdkMzIiLCJjbGllbnRJUCI6IjE4NS4yMzYuMjAwLjE3MiIsImNpdHkiOiJMb3MgQW5nZWxlcyIsInBvc3RhbENvZGUiOiI5MDAxMSIsImNvdW50cnkiOiJVUyIsImRtYSI6ODAzLCJhY3RpdmVSZWdpb24iOiJVUyIsImRldmljZUxhdCI6MzQuMDA5OTk4MzIxNTMzMiwiZGV2aWNlTG9uIjotMTE4LjI2MDAwMjEzNjIzMDQ3LCJwcmVmZXJyZWRMYW5ndWFnZSI6Iml0IiwiZGV2aWNlVHlwZSI6IndlYiIsImRldmljZVZlcnNpb24iOiIxMjIuMC4wIiwiZGV2aWNlTWFrZSI6ImNocm9tZSIsImRldmljZU1vZGVsIjoid2ViIiwiYXBwTmFtZSI6IndlYiIsImFwcFZlcnNpb24iOiI4LjAuMC0xMTFiMmI5ZGMwMGJkMGJlYTkwMzBiMzA2NjIxNTllZDllN2M4YmM2IiwiY2xpZW50SUQiOiJjMDdiYmMzMi1kZjdkLTQ2ZjItODFlNC03ODg3ZmQ3NjVhNDIiLCJjbUF1ZGllbmNlSUQiOiIiLCJpc0NsaWVudEROVCI6ZmFsc2UsInVzZXJJRCI6IiIsImxvZ0xldmVsIjoiREVGQVVMVCIsInRpbWVab25lIjoiQW1lcmljYS9Mb3NfQW5nZWxlcyIsInNlcnZlclNpZGVBZHMiOmZhbHNlLCJlMmVCZWFjb25zIjpmYWxzZSwiZmVhdHVyZXMiOnsiYWRMb2FkIjp7ImNvaG9ydCI6IiJ9LCJtdWx0aUF1ZGlvIjp7ImVuYWJsZWQiOnRydWV9LCJtdWx0aVBvZEFkcyI6eyJjb2hvcnQiOiIiLCJlbmFibGVkIjp0cnVlfSwic2VhcmNoQVBJIjp7InF1ZXJ5VmVyc2lvbiI6Imh5YnJpZCJ9LCJzdGl0Y2hlckhsc05nIjp7ImRlbXV4ZWRBdWRpbyI6ImppdCJ9fSwiZm1zUGFyYW1zIjp7ImZ3VmNJRDIiOiJjMDdiYmMzMi1kZjdkLTQ2ZjItODFlNC03ODg3ZmQ3NjVhNDIiLCJmd1ZjSUQyQ29wcGEiOiJjMDdiYmMzMi1kZjdkLTQ2ZjItODFlNC03ODg3ZmQ3NjVhNDIiLCJjdXN0b21QYXJhbXMiOnsiZm1zX2xpdmVyYW1wX2lkbCI6IiIsImZtc19lbWFpbGhhc2giOiIiLCJmbXNfc3Vic2NyaWJlcmlkIjoiIiwiZm1zX2lmYSI6IiIsImZtc19pZGZ2IjoiIiwiZm1zX3VzZXJpZCI6ImMwN2JiYzMyLWRmN2QtNDZmMi04MWU0LTc4ODdmZDc2NWE0MiIsImZtc192Y2lkMnR5cGUiOiJ1c2VyaWQiLCJmbXNfcmFtcF9pZCI6IiIsImZtc19oaF9yYW1wX2lkIjoiIiwiZm1zX2JpZGlkdHlwZSI6IiIsIl9md18zUF9VSUQiOiIiLCJmbXNfcnVsZWlkIjoiMTAwMDAsMTAwMDkifX0sImRybSI6eyJuYW1lIjoid2lkZXZpbmUiLCJsZXZlbCI6IkwzIn0sInNlc3Npb25TdGFydFRpbWUiOjE3ODI5MDAyNTQzNzEsImlzcyI6ImJvb3QucGx1dG8udHYiLCJzdWIiOiJwcmk6djE6cGx1dG86ZGV2aWNlczpVUzpZekEzWW1Kak16SXRaR1kzWkMwME5tWXlMVGd4WlRRdE56ZzROMlprTnpZMVlUUXkiLCJhdWQiOiIqLnBsdXRvLnR2IiwiZXhwIjoxNzgyOTg2NjU0LCJpYXQiOjE3ODI5MDAyNTQsImp0aSI6ImJiNTFlOWY0LTA1NjQtNDJiOS1iYWRjLWIzYjZhYTFkYTZiOCJ9.vCLYQ85olheTRqbY5fcOrj-VDiETQl0WDMoagBIVd0c&masterJWTPassthrough=true
Storage Wars by A&E | source=plex | res=720 | https://epg.provider.plex.tv/library/parts/6a1610bebdf296985fd95603-67a37720786c8a28ae4965bb/?X-Plex-Token=TiLWtZpHs-EjwPJMrqKW
10 Bold Adelaide (1080p) | source=iptv_org | res=1080 | https://dce3793146fef017.mediapackage.us-west-2.amazonaws.com/out/v1/55cdf73af7894775ba6de8f57482b66a/CMAF_HLS/index.m3u8
13 Kids (1080p) | source=iptv_org | res=1080 | https://origin.dpsgo.com/ssai/event/LhHrVtyeQkKZ-Ye_xEU75g/master.m3u8
A&E Latin America (1080p) | source=iptv_org | res=1080 | http://138.121.15.230:9002/A&E/index.m3u8
Aghapy Kids (1080p) | source=iptv_org | res=1080 | https://5b622f07944df.streamlock.net/aghapykids.tv/aghapykids2/playlist.m3u8
AMC (1080p) | source=iptv_org | res=1080 | https://amchls.wns.live/hls/stream.m3u8
AMC Cupid (1080p) | source=iptv_org | res=1080 | https://a9c2affc.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/U2Ftc3VuZy1nYl9BTUNDdXBpZF9ITFM/playlist.m3u8
